Year,Start_Date,Start_Epoch,End_Date,End_Epoch,IDX
2007,2006-12-31,1167523200,2007-12-31,1199059200,2007
2008,2008-01-01,1199145600,2008-12-31,1230681600,2008
2009,2008-12-31,1230681600,2009-12-31,1262217600,2009
2010,2009-12-31,1262217600,2010-12-31,1293753600,2010
2011,2010-12-31,1293753600,2011-12-31,1325289600,2011
2012,2012-01-01,1325376000,2012-12-31,1356912000,2012
2013,2012-12-31,1356912000,2013-12-31,1388448000,2013
2014,2013-12-31,1388448000,2014-12-31,1419984000,2014
2015,2014-12-31,1419984000,2015-12-31,1451520000,2015
2016,2016-01-01,1451606400,2016-12-31,1483142400,2016
2017,2016-12-31,1483142400,2017-12-31,1514678400,2017
2018,2017-12-31,1514678400,2018-12-31,1546214400,2018
2019,2018-12-31,1546214400,2019-12-31,1577750400,2019
2020,2020-01-01,1577836800,2020-12-31,1609372800,2020
2021,2020-12-31,1609372800,2021-12-31,1640908800,2021
